Column name,Brief description,Unit,Aggregation / interpretation
wind_speed_m_s_max,Daily maximum of 10 m wind speed calculated from the u and v wind components.,m/s,Highest valid hourly value.
wind_speed_m_s_q25,Daily first quartile (Q1) of 10 m wind speed calculated from the u and v wind components.,m/s,25th percentile of valid hourly values.
wind_speed_m_s_q75,Daily third quartile (Q3) of 10 m wind speed calculated from the u and v wind components.,m/s,75th percentile of valid hourly values.
wind_speed_m_s_iqr,Daily interquartile range (Q3 ? Q1) of 10 m wind speed calculated from the u and v wind components.,m/s,Difference between the 75th and 25th percentiles.
wind_speed_m_s_std,Daily sample standard deviation of 10 m wind speed calculated from the u and v wind components.,m/s,Calculated from valid hourly values using ddof = 1.
wind_speed_m_s_se,Daily standard error of the mean of 10 m wind speed calculated from the u and v wind components.,m/s,Sample standard deviation divided by the square root of the valid-hour count.
u10_mean,Daily mean eastward 10 m wind component; positive values indicate flow toward the east.,m/s,Mean of valid hourly component values.
v10_mean,Daily mean northward 10 m wind component; positive values indicate flow toward the north.,m/s,Mean of valid hourly component values.
tp_mm_sum,Total daily precipitation depth.,mm/day,Sum of valid de-accumulated hourly precipitation increments.
tp_mm_max,Maximum precipitation depth recorded during any one-hour interval of the day.,mm/hour,Maximum valid de-accumulated hourly precipitation increment.
tp_mm_wet_hours,Number of wet hours during the day.,hours,Count of hourly precipitation increments greater than or equal to 0.1 mm.
ssrd_w_m2_mean,Mean surface solar irradiance during the day.,W/m²,Mean of valid hourly-average irradiance values.
ssrd_w_m2_max,Maximum hourly-average surface solar irradiance during the day.,W/m²,Maximum valid hourly-average irradiance value.
ssrd_w_m2_total_mj_m2,Total daily surface solar energy exposure.,MJ/m²/day,"Sum of hourly-average irradiance multiplied by 3,600 seconds and converted from J/m² to MJ/m²."
wind_resultant_speed_m_s,Magnitude of the daily mean wind vector.,m/s,Square root of u10_mean² + v10_mean²; differs from the mean of hourly wind speeds.
wind_direction_deg,"Daily resultant meteorological wind direction, indicating where the wind comes from.",degrees,"Calculated clockwise from geographic north using the daily mean u and v components; 0° = north, 90° = east."
wind_direction_compass,"Categorical representation of the daily resultant wind direction, indicating the direction from which the wind originates:",Symbol," N = North, NE = Northeast, E = East, SE = Southeast, S = South, SW = Southwest, W = West, and NW = Northwest."
